resource	period	min_cumulative_build_by_year
CAISO_Advanced_CCGT	2020	0
CAISO_Advanced_CCGT	2022	0
CAISO_Advanced_CCGT	2026	0
CAISO_Advanced_CCGT	2030	0
CAISO_Advanced_CCGT	2035	0
CAISO_Advanced_CCGT	2040	0
CAISO_Advanced_CCGT	2045	0
CAISO_Aero_CT	2020	0
CAISO_Aero_CT	2022	0
CAISO_Aero_CT	2026	0
CAISO_Aero_CT	2030	0
CAISO_Aero_CT	2035	0
CAISO_Aero_CT	2040	0
CAISO_Aero_CT	2045	0
CAISO_Reciprocating_Engine	2020	0
CAISO_Reciprocating_Engine	2022	0
CAISO_Reciprocating_Engine	2026	0
CAISO_Reciprocating_Engine	2030	0
CAISO_Reciprocating_Engine	2035	0
CAISO_Reciprocating_Engine	2040	0
CAISO_Reciprocating_Engine	2045	0
InState_Biomass	2020	0
InState_Biomass	2022	0
InState_Biomass	2026	0
InState_Biomass	2030	0
InState_Biomass	2035	0
InState_Biomass	2040	0
InState_Biomass	2045	0
Greater_Imperial_Geothermal	2020	0
Greater_Imperial_Geothermal	2022	0
Greater_Imperial_Geothermal	2026	0
Greater_Imperial_Geothermal	2030	0
Greater_Imperial_Geothermal	2035	0
Greater_Imperial_Geothermal	2040	0
Greater_Imperial_Geothermal	2045	0
Inyokern_North_Kramer_Geothermal	2020	0
Inyokern_North_Kramer_Geothermal	2022	0
Inyokern_North_Kramer_Geothermal	2026	0
Inyokern_North_Kramer_Geothermal	2030	0
Inyokern_North_Kramer_Geothermal	2035	0
Inyokern_North_Kramer_Geothermal	2040	0
Inyokern_North_Kramer_Geothermal	2045	0
Northern_California_Ex_Geothermal	2020	0
Northern_California_Ex_Geothermal	2022	0
Northern_California_Ex_Geothermal	2026	0
Northern_California_Ex_Geothermal	2030	0
Northern_California_Ex_Geothermal	2035	0
Northern_California_Ex_Geothermal	2040	0
Northern_California_Ex_Geothermal	2045	0
Riverside_Palm_Springs_Geothermal	2020	0
Riverside_Palm_Springs_Geothermal	2022	0
Riverside_Palm_Springs_Geothermal	2026	0
Riverside_Palm_Springs_Geothermal	2030	0
Riverside_Palm_Springs_Geothermal	2035	0
Riverside_Palm_Springs_Geothermal	2040	0
Riverside_Palm_Springs_Geothermal	2045	0
Solano_Geothermal	2020	0
Solano_Geothermal	2022	0
Solano_Geothermal	2026	0
Solano_Geothermal	2030	0
Solano_Geothermal	2035	0
Solano_Geothermal	2040	0
Solano_Geothermal	2045	0
Southern_Nevada_Geothermal	2020	0
Southern_Nevada_Geothermal	2022	0
Southern_Nevada_Geothermal	2026	0
Southern_Nevada_Geothermal	2030	0
Southern_Nevada_Geothermal	2035	0
Southern_Nevada_Geothermal	2040	0
Southern_Nevada_Geothermal	2045	0
Carrizo_Solar	2020	0
Carrizo_Solar	2022	0
Carrizo_Solar	2026	0
Carrizo_Solar	2030	0
Carrizo_Solar	2035	0
Carrizo_Solar	2040	0
Carrizo_Solar	2045	0
Carrizo_Wind	2020	0
Carrizo_Wind	2022	0
Carrizo_Wind	2026	0
Carrizo_Wind	2030	0
Carrizo_Wind	2035	0
Carrizo_Wind	2040	0
Carrizo_Wind	2045	0
Central_Valley_North_Los_Banos_Solar	2020	0
Central_Valley_North_Los_Banos_Solar	2022	0
Central_Valley_North_Los_Banos_Solar	2026	0
Central_Valley_North_Los_Banos_Solar	2030	0
Central_Valley_North_Los_Banos_Solar	2035	0
Central_Valley_North_Los_Banos_Solar	2040	0
Central_Valley_North_Los_Banos_Solar	2045	0
Central_Valley_North_Los_Banos_Wind	2020	0
Central_Valley_North_Los_Banos_Wind	2022	0
Central_Valley_North_Los_Banos_Wind	2026	0
Central_Valley_North_Los_Banos_Wind	2030	0
Central_Valley_North_Los_Banos_Wind	2035	0
Central_Valley_North_Los_Banos_Wind	2040	0
Central_Valley_North_Los_Banos_Wind	2045	0
Distributed_Solar	2020	0
Distributed_Solar	2022	0
Distributed_Solar	2026	0
Distributed_Solar	2030	0
Distributed_Solar	2035	0
Distributed_Solar	2040	0
Distributed_Solar	2045	0
Distributed_Wind	2020	0
Distributed_Wind	2022	0
Distributed_Wind	2026	0
Distributed_Wind	2030	0
Distributed_Wind	2035	0
Distributed_Wind	2040	0
Distributed_Wind	2045	0
Greater_Imperial_Solar	2020	0
Greater_Imperial_Solar	2022	0
Greater_Imperial_Solar	2026	0
Greater_Imperial_Solar	2030	0
Greater_Imperial_Solar	2035	0
Greater_Imperial_Solar	2040	0
Greater_Imperial_Solar	2045	0
Greater_Imperial_Wind	2020	0
Greater_Imperial_Wind	2022	0
Greater_Imperial_Wind	2026	0
Greater_Imperial_Wind	2030	0
Greater_Imperial_Wind	2035	0
Greater_Imperial_Wind	2040	0
Greater_Imperial_Wind	2045	0
Greater_Kramer_Wind	2020	0
Greater_Kramer_Wind	2022	0
Greater_Kramer_Wind	2026	0
Greater_Kramer_Wind	2030	0
Greater_Kramer_Wind	2035	0
Greater_Kramer_Wind	2040	0
Greater_Kramer_Wind	2045	0
Humboldt_Wind	2020	0
Humboldt_Wind	2022	0
Humboldt_Wind	2026	0
Humboldt_Wind	2030	0
Humboldt_Wind	2035	0
Humboldt_Wind	2040	0
Humboldt_Wind	2045	0
Inyokern_North_Kramer_Solar	2020	0
Inyokern_North_Kramer_Solar	2022	0
Inyokern_North_Kramer_Solar	2026	0
Inyokern_North_Kramer_Solar	2030	0
Inyokern_North_Kramer_Solar	2035	0
Inyokern_North_Kramer_Solar	2040	0
Inyokern_North_Kramer_Solar	2045	0
Kern_Greater_Carrizo_Solar	2020	0
Kern_Greater_Carrizo_Solar	2022	0
Kern_Greater_Carrizo_Solar	2026	0
Kern_Greater_Carrizo_Solar	2030	0
Kern_Greater_Carrizo_Solar	2035	0
Kern_Greater_Carrizo_Solar	2040	0
Kern_Greater_Carrizo_Solar	2045	0
Kern_Greater_Carrizo_Wind	2020	0
Kern_Greater_Carrizo_Wind	2022	0
Kern_Greater_Carrizo_Wind	2026	0
Kern_Greater_Carrizo_Wind	2030	0
Kern_Greater_Carrizo_Wind	2035	0
Kern_Greater_Carrizo_Wind	2040	0
Kern_Greater_Carrizo_Wind	2045	0
Kramer_Inyokern_Ex_Solar	2020	0
Kramer_Inyokern_Ex_Solar	2022	0
Kramer_Inyokern_Ex_Solar	2026	0
Kramer_Inyokern_Ex_Solar	2030	0
Kramer_Inyokern_Ex_Solar	2035	0
Kramer_Inyokern_Ex_Solar	2040	0
Kramer_Inyokern_Ex_Solar	2045	0
Kramer_Inyokern_Ex_Wind	2020	0
Kramer_Inyokern_Ex_Wind	2022	0
Kramer_Inyokern_Ex_Wind	2026	0
Kramer_Inyokern_Ex_Wind	2030	0
Kramer_Inyokern_Ex_Wind	2035	0
Kramer_Inyokern_Ex_Wind	2040	0
Kramer_Inyokern_Ex_Wind	2045	0
North_Victor_Solar	2020	0
North_Victor_Solar	2022	0
North_Victor_Solar	2026	0
North_Victor_Solar	2030	0
North_Victor_Solar	2035	0
North_Victor_Solar	2040	0
North_Victor_Solar	2045	0
Northern_California_Ex_Solar	2020	0
Northern_California_Ex_Solar	2022	0
Northern_California_Ex_Solar	2026	0
Northern_California_Ex_Solar	2030	0
Northern_California_Ex_Solar	2035	0
Northern_California_Ex_Solar	2040	0
Northern_California_Ex_Solar	2045	0
Northern_California_Ex_Wind	2020	0
Northern_California_Ex_Wind	2022	0
Northern_California_Ex_Wind	2026	0
Northern_California_Ex_Wind	2030	0
Northern_California_Ex_Wind	2035	0
Northern_California_Ex_Wind	2040	0
Northern_California_Ex_Wind	2045	0
NW_Ext_Tx_Wind	2020	0
NW_Ext_Tx_Wind	2022	0
NW_Ext_Tx_Wind	2026	0
NW_Ext_Tx_Wind	2030	0
NW_Ext_Tx_Wind	2035	0
NW_Ext_Tx_Wind	2040	0
NW_Ext_Tx_Wind	2045	0
Riverside_Palm_Springs_Solar	2020	0
Riverside_Palm_Springs_Solar	2022	0
Riverside_Palm_Springs_Solar	2026	0
Riverside_Palm_Springs_Solar	2030	0
Riverside_Palm_Springs_Solar	2035	0
Riverside_Palm_Springs_Solar	2040	0
Riverside_Palm_Springs_Solar	2045	0
Sacramento_River_Solar	2020	0
Sacramento_River_Solar	2022	0
Sacramento_River_Solar	2026	0
Sacramento_River_Solar	2030	0
Sacramento_River_Solar	2035	0
Sacramento_River_Solar	2040	0
Sacramento_River_Solar	2045	0
SCADSNV_Solar	2020	0
SCADSNV_Solar	2022	0
SCADSNV_Solar	2026	0
SCADSNV_Solar	2030	0
SCADSNV_Solar	2035	0
SCADSNV_Solar	2040	0
SCADSNV_Solar	2045	0
SCADSNV_Wind	2020	0
SCADSNV_Wind	2022	0
SCADSNV_Wind	2026	0
SCADSNV_Wind	2030	0
SCADSNV_Wind	2035	0
SCADSNV_Wind	2040	0
SCADSNV_Wind	2045	0
Solano_Solar	2020	0
Solano_Solar	2022	0
Solano_Solar	2026	0
Solano_Solar	2030	0
Solano_Solar	2035	0
Solano_Solar	2040	0
Solano_Solar	2045	0
