zone,contract,resource,period,net_energy_mwh_per_year,net_subhourly_energy_mwh_per_year,scheduled_curtailment_mwh_per_year,units_started_per_year,units_shut_down_per_year
BANC,BANC,BANC_Biomass_for_Other,2020,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2022,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2026,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2030,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2035,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2040,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2045,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2020,4026795.5260457583,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2022,4358144.745360231,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2026,4228437.691869608,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2030,3796359.1049572187,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2035,3932481.5760207754,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2040,3693183.947547333,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2045,3543670.660995025,0.0,0.0,13.8041341217584,13.8041341217584
BANC,BANC,BANC_Geothermal_for_Other,2020,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2022,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2026,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2030,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2035,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2040,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2045,0.0,0.0,0.0,0.0,0.0
