zone,contract,resource,period,net_energy_mwh_per_year,net_subhourly_energy_mwh_per_year,scheduled_curtailment_mwh_per_year,units_started_per_year,units_shut_down_per_year
BANC,BANC,BANC_Biomass_for_Other,2020,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2022,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2026,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2030,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2035,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2040,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2045,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2020,4026795.5260457583,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2022,4271643.676911374,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2026,4181131.925716082,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2030,3814109.6070575505,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2035,4009641.112552756,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2040,3869895.750996612,0.0,0.0,14.616417978171384,14.616417978171384
BANC,BANC,BANC_CCGT,2045,3687419.9711444257,0.0,0.0,14.765110026187884,14.765110026187884
BANC,BANC,BANC_Geothermal_for_Other,2020,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2022,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2026,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2030,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2035,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2040,0.0,0.0,0.0,0.0,0.0
