transmission_line	period	positive_direction_hurdle_rate_per_mw	negative_direction_hurdle_rate_per_mw
SW_to_CAISO	2020	13.8740597418683	10.3884891397127
SW_to_CAISO	2022	14.5537993293785	10.3884891397127
SW_to_CAISO	2026	16.1611382833346	10.3884891397127
SW_to_CAISO	2030	18.1535539822628	10.3884891397127
SW_to_CAISO	2045	30.497491519265	10.3884891397127
NW_to_CAISO	2020	4.91179256098857	10.3884891397127
NW_to_CAISO	2022	4.91179256098857	10.3884891397127
NW_to_CAISO	2026	4.91179256098857	10.3884891397127
NW_to_CAISO	2030	4.91179256098857	10.3884891397127
NW_to_CAISO	2045	4.91179256098857	10.3884891397127
LDWP_to_CAISO	2020	5.59159231114488	10.3884891397127
LDWP_to_CAISO	2022	5.59159231114488	10.3884891397127
LDWP_to_CAISO	2026	5.59159231114488	10.3884891397127
LDWP_to_CAISO	2030	5.59159231114488	10.3884891397127
LDWP_to_CAISO	2045	5.59159231114488	10.3884891397127
NW_to_LDWP	2020	11.4382702145477	5.59159231114488
NW_to_LDWP	2022	12.1180098020579	5.59159231114488
NW_to_LDWP	2026	13.725348756014	5.59159231114488
NW_to_LDWP	2030	15.7177644549422	5.59159231114488
NW_to_LDWP	2045	28.0617019919444	5.59159231114488
SW_to_LDWP	2020	13.8740597418683	5.59159231114488
SW_to_LDWP	2022	14.5537993293785	5.59159231114488
SW_to_LDWP	2026	16.1611382833346	5.59159231114488
SW_to_LDWP	2030	18.1535539822628	5.59159231114488
SW_to_LDWP	2045	30.497491519265	5.59159231114488
NW_to_SW	2020	4.91179256098857	7.34758208830922
NW_to_SW	2022	4.91179256098857	7.34758208830922
NW_to_SW	2026	4.91179256098857	7.34758208830922
NW_to_SW	2030	4.91179256098857	7.34758208830922
NW_to_SW	2045	4.91179256098857	7.34758208830922
IID_to_CAISO	2020	3.17878193030839	10.3884891397127
IID_to_CAISO	2022	3.17878193030839	10.3884891397127
IID_to_CAISO	2026	3.17878193030839	10.3884891397127
IID_to_CAISO	2030	3.17878193030839	10.3884891397127
IID_to_CAISO	2045	3.17878193030839	10.3884891397127
BANC_to_CAISO	2020	2.42238502520489	10.3884891397127
BANC_to_CAISO	2022	2.42238502520489	10.3884891397127
BANC_to_CAISO	2026	2.42238502520489	10.3884891397127
BANC_to_CAISO	2030	2.42238502520489	10.3884891397127
BANC_to_CAISO	2045	2.42238502520489	10.3884891397127
IID_to_LDWP	2020	3.17878193030839	5.59159231114488
IID_to_LDWP	2022	3.17878193030839	5.59159231114488
IID_to_LDWP	2026	3.17878193030839	5.59159231114488
IID_to_LDWP	2030	3.17878193030839	5.59159231114488
IID_to_LDWP	2045	3.17878193030839	5.59159231114488
SW_to_IID	2020	13.8740597418683	3.17878193030839
SW_to_IID	2022	14.5537993293785	3.17878193030839
SW_to_IID	2026	16.1611382833346	3.17878193030839
SW_to_IID	2030	18.1535539822628	3.17878193030839
SW_to_IID	2045	30.497491519265	3.17878193030839
IID_to_BANC	2020	3.17878193030839	2.42238502520489
IID_to_BANC	2022	3.17878193030839	2.42238502520489
IID_to_BANC	2026	3.17878193030839	2.42238502520489
IID_to_BANC	2030	3.17878193030839	2.42238502520489
IID_to_BANC	2045	3.17878193030839	2.42238502520489
NW_to_BANC	2020	11.4382702145477	2.42238502520489
NW_to_BANC	2022	12.1180098020579	2.42238502520489
NW_to_BANC	2026	13.725348756014	2.42238502520489
NW_to_BANC	2030	15.7177644549422	2.42238502520489
NW_to_BANC	2045	28.0617019919444	2.42238502520489
SW_to_BANC	2020	13.8740597418683	2.42238502520489
SW_to_BANC	2022	14.5537993293785	2.42238502520489
SW_to_BANC	2026	16.1611382833346	2.42238502520489
SW_to_BANC	2030	18.1535539822628	2.42238502520489
SW_to_BANC	2045	30.497491519265	2.42238502520489
NW_to_CAISO_Unspecified	2020	6.52647765355912	0
NW_to_CAISO_Unspecified	2022	7.20621724106932	0
NW_to_CAISO_Unspecified	2026	8.81355619502543	0
NW_to_CAISO_Unspecified	2030	10.8059718939536	0
NW_to_CAISO_Unspecified	2045	23.1499094309558	0
