resource,fuel,zone,contract,period,fuel_burn_mmbtu_per_year,ghg_tco2_per_year,pipeline_biogas_mmbtu_per_year,start_fuel_mmbtu_per_year
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2020,30144453.14441841,1597652.4043405773,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2022,36124088.205095544,1914581.397846833,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2026,31781439.076522727,1684419.5578119967,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2030,30108320.677364916,1595740.3436121212,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2020,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2022,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2026,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2030,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2020,408430873.12457204,21646840.574461684,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2022,410443571.7867432,21753514.41729867,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2026,296421587.86390746,15710352.127860844,0.0,3427362.12606394
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2030,250429285.9936505,13272748.614317317,0.0,3238689.7841561637
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2020,2076773.7702410757,110068.29992310524,0.0,14040.483581798386
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
