resource	vintage	annual_fixed_cost_by_vintage	fixed_o_and_m_dollars_per_kw_yr
CAISO_Advanced_CCGT	2020	125.548266719295	11.1149155693037
CAISO_Advanced_CCGT	2022	126.350594599659	11.1149155693037
CAISO_Advanced_CCGT	2026	126.093849677942	11.1149155693037
CAISO_Advanced_CCGT	2030	126.938968378592	11.1149155693037
CAISO_Aero_CT	2020	133.642455099548	13.6946488516332
CAISO_Aero_CT	2022	134.474160063084	13.6946488516332
CAISO_Aero_CT	2026	133.893105910477	13.6946488516332
CAISO_Aero_CT	2030	134.622271905905	13.6946488516332
CAISO_Reciprocating_Engine	2020	133.642455099548	13.6946488516332
CAISO_Reciprocating_Engine	2022	134.474160063084	13.6946488516332
CAISO_Reciprocating_Engine	2026	133.893105910477	13.6946488516332
CAISO_Reciprocating_Engine	2030	134.622271905905	13.6946488516332
InState_Biomass	2020	629.165801108592	184.754046618816
InState_Biomass	2022	626.441998592725	184.754046618816
InState_Biomass	2026	561.841426520695	184.754046618816
InState_Biomass	2030	656.625531123194	184.754046618816
Greater_Imperial_Geothermal	2020	489.291215210753	148.742393677977
Greater_Imperial_Geothermal	2022	491.652857523741	148.742393677977
Greater_Imperial_Geothermal	2026	556.064084607956	148.742393677977
Greater_Imperial_Geothermal	2030	575.429551574453	148.742393677977
Inyokern_North_Kramer_Geothermal	2020	489.291215210753	148.742393677977
Inyokern_North_Kramer_Geothermal	2022	491.652857523741	148.742393677977
Inyokern_North_Kramer_Geothermal	2026	556.064084607956	148.742393677977
Inyokern_North_Kramer_Geothermal	2030	575.429551574453	148.742393677977
Northern_California_Ex_Geothermal	2020	489.291215210753	148.742393677977
Northern_California_Ex_Geothermal	2022	491.652857523741	148.742393677977
Northern_California_Ex_Geothermal	2026	556.064084607956	148.742393677977
Northern_California_Ex_Geothermal	2030	575.429551574453	148.742393677977
Riverside_Palm_Springs_Geothermal	2020	489.291215210753	148.742393677977
